Isaac ben Judah Abravanel, (1437–1508)[1][2][3]
Judah ben Isaac Abravanel, (c. 1460 – c. 1535)[1][2]
Alessandro Achillini, (1463–1512)
Uriel Acosta, (1585–1640)
Rodolphus Agricola, (1443–1485)[2]
Heinrich Cornelius Agrippa, (1436–1535)[2][3]*
Leone Battista Alberti, (1404–1472)
Yohanan ben Isaac Alemanno, (1433–1504)[2]
Isaac ben Moses Arama, (1420–1494)[2]
Jacobus Arminius, (1560–1609)[1]
Francis Bacon, (1561–1626)[1][4]12[2][3]
Domingo Báñez, (1528–1604)[1][2]
Sebastiano Basso, (16th century)
Gabriel Biel, (1425–1495)[2]
Jean Bodin, (1530–1596)[1][4]12[2][3]
Jakob Böhme, (1575–1624)[1][2]
Giovanni Botero, (c1544-1617)
Giordano Bruno, (1548–1600)[1][4]12[2][3]*
Thomas Cajetan, (1469–1534)[1][4]12[2]
John Calvin, (1509–1564)[1][4]2[2]
Tommaso Campanella, (1568–1639)[1][4]12[2][3]
Gerolamo Cardano, (1501–1576)[2]
Andrea Cesalpino, (1519–1603)
Chaitanya Mahaprabhu, (1486–1534)
Pierre Charron, (1541–1603)[1][2]
Ch'en Hsien-chang, (1428–1500)[1]
Chiao Hung, (1540–1620)[1]
John Comenius, (1592–1670)[4]12[2]
Nicolaus Copernicus, (1473–1543)[4]12[2][3]
Johannes Crellius, (1590–1633)
Cesare Cremonini, (1550–1631)
Jalal al-Din al-Dawani, (1426–1502)[2]
Elijah Delmedigo, (1460–1497)[2][3]
Joseph Solomon Delmedigo, (1484–1558)
Denys the Carthusian, (1402–1471)[2]
René Descartes, (1596–1650)[1][4]12[2]
Guillaume du Vair, (1556–1621)[1]
Desiderius Erasmus, (1466–1536)[1][4]12[2]
Marsilio Ficino, (1433–1499)[1][4]12[2][3]*
Robert Filmer, (1588–1653)[1][4]12[2]
Robert Fludd, (1574–1637)[1][2]
Pedro da Fonseca, (1528–1599)[1][2]
Fujiwara Seika, (1561–1619)[2]
Galileo Galilei, (1564–1642)[1][4]12[2][3]
Pierre Gassendi, (1592–1655)[1][4]12[2][3]
Rudolph Goclenius, (1547–1628)[1]
Wawrzyniec Grzymala Goslicki (1530–1607)
Hugo Grotius, (1583–1645)[1][4]12[2][3]
Henricus Regius, (1598–1679)[2]
Edward Herbert, 1st Baron Herbert of Cherbury, (1583–1648)[2]
Abraham Cohen de Herrera, (1562–1635)[2]
Thomas Hobbes, (1588–1679)[1][4]12[2]
Richard Hooker, (1554–1600)[2]
John of St. Thomas, (1589–1644)[1][2]
Joachim Jungius, (1587–1657)[2]
Bartholomäus Keckermann, (1571–1609)[2]
Johannes Kepler, (1571–1630)[1][2][3]*
Isaac La Peyrère, (1596–1676)[1]
Justus Lipsius, (1547–1606)[2][3]
Liu Tsung-chou, (1578–1645)[1]
Martin Luther, (1483–1546)[1][4]12[2]
Niccolò Machiavelli, (1469–1527)[1][4]12[2][3]
John Major, (1467–1550)[4]12[2]
Juan de Mariana, (1536–1624)[1]
Jacopo Mazzoni, (1548–1598)
Bartolomé de Medina, (1527–1580)[1]
Philipp Melanchthon, (1497–1560)[2]
Marin Mersenne, (1588–1648)[1][2]
Judah Messer Leon, (c. 1425 – c. 1495)[2]
Mikyo Dorje, (1507–1554)[2]
Muhammad Baqir Mir Damad, (died 1631)[2]
Luis de Molina, (1535–1600)[1][4]12[2]
Michel de Montaigne, (1533–1592)[1][4]12[2][3]
Thomas More, (1478–1535)[1][3]*
Mulla Sadra, (1571–1640)[4]12[2]
Nicholas of Cusa, (1401–1464)[1][4]12[2][3]*
Agostino Nifo, (1470–1538)[2]
Richard Overton, (c. 1599 – 1664)[2]
Paracelsus, (1493–1541)[1][2]
Francesco Patrizi da Cherso (1529–1597)[2][3]
Giovanni Pico della Mirandola, (1463–1494)[1][4]12[2][3]*
Pietro Pomponazzi, (1462–1525)[1][4]12[2][3]
François Rabelais, (1493–1553)[2]
Petrus Ramus, (1515–1572)[1][2][3]
Raghunatha Siromani, (c. 1477–1547)
Francisco Sanches, (1551–1623)[1][2]
Julius Caesar Scaliger, (1484–1558)
Michal Sedziwój, (1566–1636)
John Selden, (1584–1654)[2]
Francesco Silvestri, (1474–1528)[2]
Sosan Hyujong, (1520–1604)[2]
Domingo de Soto, (1494–1560)[1][2]
Francisco Suárez, (1548–1617)[1][4]12[2][3]*
Nicolaus Taurellus, (1547–1606)
Bernardino Telesio, (1509–1588)[1][2][3]
Teresa of Avila, (1515–1582)[1]
Francisco Toledo, (1532–1596)[1][2]
Lorenzo Valla, (1406–1457)[1][4]12[2][3]*
Vallabhacharya, (1479–1531)[2]
Vyasatirtha, (c. 1460–1539)
Lucilio "Giulio Cesare" Vanini, (1585–1619)[1]
Gabriel Vasquez, (1549–1604)[1]
Nicoletto Vernia, (1442–1499)[2]
Francisco de Vitoria, (1492–1546)[1][4]12[2]
Juan Luís Vives, (1492–1540)[1][2]
Wang Yangming, (1472–1529)[1][4]12[2]
Thomas White, (1593–1676)[2]
Yi Hwang (1501–1570)[2]
Yi I (1536–1584)[2]
Jacopo Zabarella, (1533–1589)[1][2][3]
Firmin Abauzit, (1679–1767)
Yves Marie André, (1675–1764)
Antoine Arnauld, (1612–1694)[1][2]12[3][4]*
Mary Astell, (1666–1731)[1][3][4]
John Balguy, (1686–1748)
Pierre Bayle, (1647–1706)[1][2]12[3][4]
Richard Bentley, (1662–1742)[3]
George Berkeley, (1685–1753)[1][2]12[3][4]
François Bernier, (1620–1688)[3]
Hugh Binning, (1627–1653)
Samuel Bold, (1649–1737)[3]
Robert Boyle, (1627–1691)[1][2]12[3][4]
Peter Browne, (1666–1735)[3]
Thomas Browne, (1605–1682)
Claude Buffier, (1661–1737)[3]
Richard Burthogge, (1638–1704)[3]
Joseph Butler, (1692–1752)[1][2]12[3]
Gershom Carmichael, (c. 1672 – 1729)[3]
Margaret Cavendish, (1623–1673)[1][3]
Walter Charleton, (1619–1707)[3]
William Chillingworth, (1602–1644)[3]
Samuel Clarke, (1675–1729)[1][2]12[3][4]
Johannes Clauberg, (1622–1665)[3]
Catherine Trotter Cockburn, (1679–1749)[1][3][4]
Arthur Collier, (1680–1732)[1][3]
Anthony Collins, (1676–1729)[2]12[3][4]
Lady Anne Finch Conway, (1631–1679)[1][2]12[3][4]
Geraud de Cordemoy, (1626–1684)[1][3][4]
Jean-Pierre de Crousaz, (1663–1750)
Ralph Cudworth, (1617–1688)[2]12[3]
Nathaniel Culverwel, (1619–1651)[3]
Richard Cumberland, (c. 1631-1718)[1][3]
John Theophilus Desaguliers, (1683–1744)
Robert Desgabets, (1610–1678)[3][4]
Kenelm Digby, (1603–1665)[3]
Humphry Ditton, (1675–1715)
Elisabeth of Bohemia, (1618–1680)[1][3]
Michelangelo Fardella, (1646–1718)[3]
François de Salignac de la Mothe-Fénelon, (1651–1715)[3]
Bernard le Bovier de Fontenelle, (1657–1757)[1][3]
Simon Foucher, (1644–1696)[3]
Gadadhara Bhattacharya, (1604–1709)[3]
John Gay, (1685–1732)[1]
Arnold Geulincx, (1624–1669)[1][2]12[3]
Joseph Glanvill, (1636–1680)[1][3]
Baltasar Gracián y Morales, (1601–1658)[1]
Guido Grandi, (1671–1742)
Han Wonjin, (1682–1751)[3]
James Harrington, (1611–1677)[3]
Franciscus Mercurius van Helmont, (1614–1698)[3]
Huang Zongxi, (1610–1695)[1]
Pierre Daniel Huet, (1630–1721)[3]
Francis Hutcheson, (1694–1746)[1][2]12[3]
Christiaan Huygens, (1629–1695)[1]
Ito Jinsai, (1627–1705)[3]
Samuel Johnson, (1649–1703)[3]
Kaibara Ekiken, (1630–1740)[3]
Lord Kames, (1696–1782)[3]
Kumazawa Banzan, (1619–1691) [3]
Louis de La Forge, (1632–1666)[1][3]
William Law, (1686–1761)[3]
Jean Le Clerc, (1657–1737)[3]
Antoine Le Grand, (1629–1699)[3][4]
John Locke, (1632–1704)[1][2]12[3][4]
Nicolas Malebranche, (1638–1715)[1][2]12[3][4]
Bernard de Mandeville, (1670–1733)[2]2[3]
Damaris Cudworth Masham, (1659–1708)[1][3][4]
Baron de Montesquieu (1689–1755)[1][2]2[3][4]
Henry More, (1614–1687)[1][3]
Isaac Newton, (1642–1727)[1][2]12[3]
John Norris, (1657–1711)[3][4]*
Ogyū Sorai, (1666–1728)[3]
Blaise Pascal, (1623–1662)[1][2]2[3]
Robert Joseph Pothier, (1699–1772)[3]
Samuel Pufendorf, (1632–1694)[1][2]2[3]
John Ray, (1627–1705)[1]
Pierre-Sylvain Regis, (1632–1707)[3]
Hermann Samuel Reimarus, (1694–1768)[1]
Jacques Rohault, (1617–1672)[3]
Anna Maria van Schurman, (1607–1678)[3]
John Sergeant, (1623–1704)[3]
Anthony Ashley-Cooper, 3rd Earl of Shaftesbury, (1671–1713)[1][2]12[3][4]
Baruch Spinoza, (1632–1677)[1][2]12[3][4]
James Dalrymple, 1st Viscount Stair, (1619–1695)[3]
Edward Stillingfleet, (1635–1699)[1]
Gabrielle Suchon, (1631–1703)[3]
Emanuel Swedenborg, (1688–1772)[3]
Algernon Sydney, (1623–1683)
Christian Thomasius, (1655–1728)[3]
Matthew Tindal, (1657–1733)[3]
John Toland, (1670–1722)[2]12[3]
Ehrenfried Walther von Tschirnhaus, (1651–1708)[3]
George Turnball, (1698–1748)[1][3]
Giambattista Vico, (1668–1744)[1][2]12[3][4]
Voltaire, (1694–1778)[2]12[3]
Wang Fuzhi , (1619–1692)[1][3]
Benjamin Whichcote, (1609–1683)
Gerrard Winstanley, (1609–1676)
Christian Wolff, (1679–1754)[1][2]12[3]
William Wollaston, (1659–1724)[1][3]
Yen Yuan (1635–1704)[1]
Yi Kan (1677–1727)[3]
Jacob Friedrich von Abel, (1751–1829)
John Abercrombie, (1780–1844)[f]
Johann Heinrich Abicht, (1762–1816)
John Adams, (1735–1826)
Francesco Algarotti, (1712–1764)
Archibald Alison, (1757–1839)[d]
John Allen, (1771–1843)[f]
Anton Wilhelm Amo, (1703 – c. 1759)[d]
Thomas Arnold, (1795–1842)[f]
Robert Aspland, (1782–1845)[f]
Georg Anton Friedrich Ast, (1778–1841)
John Austin, (1790–1859)[a][b][c][d][e][f]
Pierre Hyacinthe Azais, (1766–1845)
Franz Xaver von Baader, (1765–1841)
Charles Babbage, (1791–1871)[a][f]
Samuel Bailey, (1791–1870)[f]
Pierre-Simon Ballanche, (1776–1847)
John Ballantyne, (1778–1830)[f]
Christoph Gottfried Bardili, (1761–1808)
Alexander Gottlieb Baumgarten, (1714–1762)[a][d]
James Beattie, (1735–1803)[a][d]
Cesare, Marquis of Beccaria, (1738–1794)[a]
Jacob Sigismund Beck, (1761–1840)[d]
Charles Bell, (1774–1842)[f]
Thomas Belsham, (1750–1829)[f]
William Belsham, (1752–1829)[f]
Friedrich Eduard Beneke, (1798–1854)[a]
Jeremy Bentham, (1748–1832)[a][b][c][d]
William Blackstone, (1723–1780)[d]
Hugh Blair, (1718–1800)[d]
William Blake, (1757–1827)[f]
Robert Blakey, (1795–1878)[f]
Bernard Bolzano, (1781–1848)[a][b][c][d][e]*
Louis Gabriel Ambroise de Bonald, (1754–1840)
Charles Bonnet, (1720–1793)[d]
Rudjer Boscovich, (1711–1787)[a]
David Brewster, (1781–1868)[f]
Jean Anthelme Brillat-Savarin, (1755–1826)[b][c]
Benjamin Collins Brodie, (1783–1862)[f]
Henry Brougham, (1778–1868)[f]
Thomas Brown, (1778–1820)[d][f]
Robert Buchanan, (1786–1873)[f]
Georges-Louis Leclerc, Comte de Buffon, (1707–1788)[d]
William Burdon, (1764–1818)[f]
Edmund Burke, (1729–1797)[a][b][c][d][e]
Lawrence Butterworth, (1740–1828)[f]
Pierre Jean George Cabanis, (1757–1808)[d]
George Campbell, (1719–1796)[d]
Thomas Carlyle, (1795–1881)[a][d]
Petr Iakovlevich Chaadev, (1794–1856)[d]
Heinrich Moritz Chalybäus, (1796–1862)
Chang Hsueh-ch'eng, (1738–1801)[a]
Tasan Chông Yagyong, (1762–1836)[d]
Samuel Taylor Coleridge, (1772–1834)[b][c][d]
Auguste Comte, (1798–1857)[a][b][c][d]
Étienne Bonnot de Condillac, (1715–1780)[a][b][c][d][e]
Marquis de Condorcet, (1743–1794)[a][c][d]
Benjamin Constant, (1767–1830)[a][b][c][d]
Victor Cousin, (1792–1867)[a][d]
Johann Ulrich von Cramer, (1706–1772)
Christian August Crusius, (1715–1775)[a][d]
Jean le Rond d'Alembert, (1717–1783)[a][b][c][d]
Joseph de Maistre, (1753–1821)[a][b][c]
Emerich de Vattel, (1714–1767)
Denis Diderot, (1713–1784)[a][b][c][d]
Émilie du Châtelet, (1706–1749)[d]
Johann Augustus Eberhard, (1739–1809)[d]
Jonathan Edwards, (1703–1758)[a][b][c][d][e]
Adam Ferguson, (1723–1816)[a][b][c][d]
Johann Gottlieb Fichte, (1762–1814)[a][b][c][d][e]
Immanuel Hermann Fichte, (1797–1879)
David Fordyce, (1711–1751)[a]
Charles Fourier, (1772–1837)[a]
Benjamin Franklin, (1706–1790)[b][c][d]
Jakob Friedrich Fries, (1773–1843)[d]
