Muhammad Abduh, (1849–1905)[d]
Robert Adamson, (1852–1902)
Jamal al-Din al-Afghani, (1839–1897)[d]
Kazimierz Ajdukiewicz, (1890–1963)[b][c][d]
Konstantin Sergeyevich Aksakov, (1817–1860)
Samuel Alexander, (1859–1938)[a][b][c][d]
Henri-Frédéric Amiel, (1821–1881)
John Anderson, (1893–1962)[b][c][d]
Roberto Ardigò, (1828–1920)
Valentin Ferdinandovich Asmus, (1894–1975)[d]
Sri Aurobindo, (1872–1950)[b][c][d]
Richard Avenarius, (1843–1896)[a][b][c][d]
Gaston Bachelard, (1884–1962)[a][b][c][d]
Alexander Bain, (1818–1903)[a][b][c]
Mikhail Bakhtin, (1895–1975)[a][b][c][d]
Mikhail Bakunin, (1814–1876)[a][b][c][d]
James Mark Baldwin, (1861–1934)
Karl Barth, (1886–1968)[b][c][d]
Jules Barthélemy-Saint-Hilaire, (1805–1895)
Georges Bataille, (1897–1962)[a][d]
Bruno Bauer, (1809–1882)[b][c][d][e]
David Baumgardt, (1890–1963)[d]
Oskar Becker, (1889–1964)
Vissarion Belinsky, (1811–1848)[d]
Julien Benda, (1867–1956)
Walter Benjamin, (1892–1940)[b][c][d]
Nikolai Berdyaev, (1874–1948)[a][b][c][d]
Henri Bergson, (1859–1941)[a][b][c][d][e]
Eduard Bernstein, (1850–1932)[d]
Nathan Birnbaum, (1864–1937)
Brand Blanshard, (1892–1987)[b][c]
Ernst Bloch, (1885–1977)[a][b][c][d]
Maurice Blondel, (1861–1949)[a]
Benjamin Paul Blood, (1832–1919)
Hermann Blumenau, (1819–1899)
George Boas, (1891–1980)
Alexander Bogdanov, (1873–1928)[b][c][d]
Niels Bohr, (1885–1962)[b][c][d]
Ludwig Boltzmann, (1844–1906)[a][b][c]
John Elof Boodin, (1869–1950)
George Boole, (1815–1864)[b][c][d][e]*
Bernard Bosanquet, (1848–1923)[a][b][c][d][e]
Emile Boutroux, (1845–1921)[d]
Oets Kolk Bouwsma, (1898–1978)[a]
Borden Parker Bowne, (1847–1910)[d]
F. H. Bradley, (1846–1924)[a][b][c][d][e]
Franz Brentano, (1838–1917)[a][b][c][d][e]
Percy Williams Bridgman, (1882–1961)[b][c][d]
Edgar S. Brightman, (1884–1953)[b][c]
C. D. Broad, (1887–1971)[a][b][c][d]
Luitzen Egbertus Jan Brouwer, (1881–1966)[a][b][c][e]
Orestes Brownson, (1803–1876)[b][c]
Constantin Brunner, (1862–1937)
Emil Brunner, (1889–1966)[d]
Leon Brunschvicg, (1869–1944)[a][b][c][d]
James Bryce, 1st Viscount Bryce, (1838–1922)[d]
Martin Buber, (1878–1965)[a][b][c][d][e]
Ludwig Büchner, (1824–1899)[d]
Sergei Nikolaevich Bulgakov, (1871–1944)[d]
Rudolf Bultmann, (1884–1976)[b][c][d]
Jacob Burckhardt, (1818–1897)[b][c]
Samuel Butler, (1835–1902)[b][c]
Cai Yuanpei, (1868–1940)
Edward Caird, (1835–1908)[a]
Mary Whiton Calkins, (1863–1930)
Norman Robert Campbell, (1880–1949)[a][d]
Georg Cantor, (1845–1918)[a][b][c][d]
Pantaleo Carabellese, (1877–1948)[a]
Rudolf Carnap, (1891–1970)[a][b][c][d][e]*
Lewis Carroll, (1832–1898)[a][b][c][d]
Paul Carus, (1852–1919)
Ernst Cassirer, (1874–1945)[a][b][c][d][e]
Carlo Cattaneo, (1801–1869)[d]
Emile Auguste Chartier, (1868–1951)
Nikolai Chernyshevsky, (1828–1889)[d]
Ch'ien Mu, (1895–1990)[a]
Leon Chwistek, (1884–1944)
August Cieszkowski, (1814–1894)[d]
William Kingdon Clifford, (1845–1879)[a][b][c]
Hermann Cohen, (1842–1918)[a][b][c][d][e]*
R. G. Collingwood, (1889–1943)[a][b][c][d][e]
Josephus Flavius Cook, (1838–1901)
John Cook Wilson, (1849–1915)[a][c]
Ananda Kentish Coomaraswamy, (1877–1947)
Hans Cornelius, (1863–1947)
Antoine Augustin Cournot, (1801–1877)[a][d]
Louis Couturat, (1868–1914)[a][b][c]
James Edwin Creighton, (1861–1924)
Benedetto Croce, (1866–1952)[a][b][c][d]
Tadeusz Czezowski, (1889–1981)
Heinrich Czolbe, (1819–1873)[a]
Nikolay Danilevsky (1822–1885)
Charles Darwin, (1809–1882)[d]
Augustus De Morgan, (1806–1871)[a][b][c][d]
Francesco de Sanctis, (1817–1883)
Richard Dedekind, (1831–1916)[a][b][c][d]
Galvano Della Volpe, (1895–1968)
Paul Deussen, (1845–1919)
John Dewey, (1859–1952)[a][b][c][d]
Albert Venn Dicey, (1835–1922)[d]
Wilhelm Dilthey, (1833–1911)[a][b][c][d]
Hugo Dingler, (1881–1954)
Juan Donoso Cortés (1809–1853)
Herman Dooyeweerd, (1894–1977)[d]
Fyodor Dostoevsky, (1821–1881)[d]
Hans Adolf Eduard Driesch, (1867–1941)
Emil du Bois-Reymond, (1818–1896)[d]
Curt Ducasse, (1881–1969)[a][b][c][d]
Pierre Duhem, (1861–1916)[a][b][c][d]
Eugen Dühring, (1833–1921)[b][c][d]
Émile Durkheim, (1858–1917)[b][c][d]
Julius Ebbinghaus, (1885–1981)
Mary Baker Eddy, (1821–1910)
Christian von Ehrenfels, (1856–1932)
Albert Einstein, (1879–1955)[a][b][c][d]
George Eliot, (1819–1880)[d]
Ralph Waldo Emerson, (1803–1882)[a][b][c][d][e]
Friedrich Engels (1820–1895)[a][b][c][d]
Rudolf Christoph Eucken, (1846–1926)
Julius Evola, (1898–1974)
Thome H. Fang, (1899–1976)[a]
Gustav Fechner, (1801–1887)[a][d]
Feng Youlan, (1895–1990)[a]
Ernest Fenollosa, (1853–1908)
Giuseppe Ferrari, (1812–1876)
James Frederick Ferrier, (1808–1864)[d]
Ludwig Feuerbach, (1804–1872)[a][b][c][d][e]
Kuno Fischer, (1824–1907)
John Fiske, (1842–1901)
Franciszek Fiszer, (1860–1937)
Robert Flint, (1838–1910)
Pavel Aleksandrovich Florenskii, (1882–1937)[d]
Georges Florovsky, (1893–1979)
Jerome Frank, (1889–1957)[d]
Philipp Frank, (1884–1966)
Semën Liudvigovich Frank (1877–1950)[d]
Gottlob Frege, (1848–1925)[a][b][c][d][e]
Sigmund Freud, (1856–1939)[a][b][c][d]
Hans Freyer, (1887–1969)
Nikolai Fyodorovich Fyodorov, (1829–1903)[d]
Mahatma Gandhi, (1869–1948)[a][b][c][d]
Réginald Garrigou-Lagrange, (1887–1964)[d]
Nārāyana Guru, (1856–1928)
Giovanni Gentile, (1875–1944)[a][b][c][d]
Otto von Gierke, (1841–1921)
Charlotte Perkins Gilman, (1860–1935)
Étienne Gilson, (1884–1978)[a][b][c]
Asher Ginsberg (1856–1927)[d]
Vincenzo Gioberti, (1801–1852)[a][d]
Arthur de Gobineau, (1816–1882)
Henry George, (1839–1897)
Antonio Gramsci, (1891–1937)[a][b][c][d]
Thomas Hill Green, (1836–1882)[a][b][c][d][e]
Kurt Grelling, (1886–1942)
John Grote, (1813–1866)[d]
D. V. Gundappa, (1889–1975)
G. I. Gurdjieff, (1872–1949)
Edmund Gurney, (1847–1888)[d]
Paul Häberlin, (1878–1960)
Ernst Haeckel, (1834–1919)[a][d]
Axel Hägerström, (1868–1939)[d]
Béla Hamvas, (1897–1968)
Eduard Hanslick, (1825–1904)[d]
Friedrich Harms, (1819–1880)
William Torrey Harris, (1835–1909)
Eduard Von Hartmann, (1842–1906)[a][b][c][d]
Nicolai Hartmann, (1882–1950)[a][b][c][d][e]*
Charles Hartshorne, (1897–2000)[a][b][c][e]
Friedrich Hayek, (1899–1992)[b][c][d]
Rudolf Haym, (1821–1901)
Martin Heidegger, (1889–1976)[a][b][c][d][e]*
Hermann von Helmholtz, (1821–1894)[a][d]
Heinrich Rudolf Hertz, (1857–1894)[d]
Alexander Herzen, (1812–1870)[a][b][c][d]
Moses Hess, (1812–1875)[d]
Sergei Hessen, (1887–1950)[d]
David Hilbert, (1862–1943)[a][b][c]
Dietrich von Hildebrand, (1889–1977)
Leonard Trelawny Hobhouse, (1864–1929)[b][c]
William Ernest Hocking, (1873–1966)[b][c]
Shadworth Hodgson, (1832–1912)[b][c]
Eric Hoffer, (1898-1983)[b][c]
Harald Høffding, (1843–1931)[b][c]
Wesley Newcomb Hohfeld, (1879–1918)[a][d]
Oliver Wendell Holmes, Jr., (1841–1935)[d]
Max Horkheimer, (1895–1973)[a][d]
Hsiung Shih-li, (1885–1968)[a]
Hu Shih, (1891–1962)[a]
Elbert Hubbard, (1856–1915)
Edmund Husserl, (1859–1938)[a][b][c][d][e]
Thomas Henry Huxley, (1825–1895)[d]
Ivan Aleksandrovich Il'in, (1883–1954)[a][d]
Roman Ingarden, (1893–1970)[a][b][c][d][e]
William Ralph Inge, (1860–1954)[d]
Muhammad Iqbal, (1877–1938)[b][c][d]
Henry James Sr., (1811–1882)
William James, (1842–1910)[a][b][c][d][e]
Karl Jaspers, (1883–1969)[a][b][c][d][e]*
William Stanley Jevons, (1835–1882)[a][b][c][e]*
Rudolf von Jhering, (1818–1892)[d]
Krishnamurti Jiddu, (1895–1986)
C.E.M. Joad, (1891–1953)
William Ernest Johnson, (1858–1931)[a][b][c]
Jørgen Jørgensen, (1894–1969)[b][c]
Carl Jung, (1875–1961)[a][b][c][d]
Ernst Jünger, (1895–1998)
Kang Youwei, (1858–1927)[a]
Mordecai Kaplan, (1881–1983)[d]
Michael Ivanovich Karinski (1840–1917)
Karl Kautsky, (1854–1938)[b][c][d]
Konstantin Kavelin (1818–1885)
Hans Kelsen, (1881–1973)[b][c][d]
Norman Kemp Smith, (1872–1958)[d]
John Maynard Keynes, (1883–1946)[a][b][c][d]
Hermann von Keyserling, (1880–1946)
Aleksey Khomyakov (1804–1860)
Søren Kierkegaard, (1813–1855)[a][b][c][d][e]
Wolfgang Köhler, (1887–1967)[a]
Alejandro Korn, (1860–1936)[b][c]
Tadeusz Kotarbiński, (1886–1981)[a][b][c][d]
Alexandre Koyre, (1892–1964)[d]
Karl Kraus, (1874–1936)[b][c]
Jiddu Krishnamurti, (1895–1986)
Leopold Kronecker, (1823–1891)[d]
Richard Kroner, (1884–1974)
Peter Kropotkin, (1842–1921)[a][b][c][d]
Kuki Shūzō, (1888–1941)[d]
Antonio Labriola, (1843–1904)[a][d]
Jules Lachelier, (1832–1918)[d]
Pierre Laffitte, (1823–1903)[a]
Friedrich Albert Lange, (1828–1875)[a][d][e]
Susanne Langer, (1895–1985)[b][d]
Ferdinand Lassalle, (1825–1864)[d]
Peter Lavrovitch Lavrov, (1823–1900)[d]
Moritz Lazarus, (1824–1903)
Edouard Louis Emmanuel Julien Le Roy, (1870–1954)[d]
Adrian LeMors, (1893–1956)
Vladimir Lenin, (1870–1924)[a][b][c][d]
Konstantin Nikolaevich Leont'ev, (1831–1891)[d]
Jules Lequier, (1814–1862)[a]
Stanisław Leśniewski, (1886–1939)[a][b][c][d]
Lucien Lévy-Bruhl, (1857–1939)[b][c]
George Henry Lewes, (1817–1878)
Kurt Lewin, (1890–1947)[a]
Clarence Irving Lewis, (1883–1964)[a][b][c][d][e]*
C. S. Lewis, (1898–1963)[a][d]
John Lewis, (1889–1976)
Liang Qichao, (1873–1929)[a]
Liang Sou-ming, (1893–1988)[a]
Karol Libelt, (1807–1875)
Israel Lipkin, (1810–1883)[e]*
Émile Littré, (1801–1881)
Liu Shaoqi, (1898–1969)[a]
Karl Nickerson Llywelyn, (1893–1962)[d]
Alain LeRoy Locke, (1886–1954)
Alfred Loisy, (1857–1940)[d]
Jakob Lorber, (1800–1864)
Aleksei Fedorovich Losev, (1893–1988)[d]
Nicholas Onufrievich Lossky, (1870–1965)[d]
Hermann Lotze, (1817–1881)[a][b][c][d][e]
Arthur O. Lovejoy, (1873–1962)[b][c]
Georg Lukács, (1885–1971)[a][b][c][d]
Jan Łukasiewicz, (1878–1956)[a][b][c][d]
Rosa Luxemburg, (1871–1919)[d]
Ernst Mach, (1838–1916)[a][b][c][d][e]
John Macmurray, (1891–1976)[c]
Philipp Mainländer, (1841–1876)
Ernst Mally, (1879–1944)[e]
Karl Mannheim, (1893–1947)[a][b][c]
Henry Longueville Mansel, (1820–1871)[a]
Mao Zedong, (1893–1976)[a]
Gabriel Marcel, (1887–1973)[a][b][c][d][e]
Herbert Marcuse, (1898–1979)[a][b][c][d]
Jacques Maritain, (1882–1973)[a][b][c][d][e]
Harriet Martineau, (1802–1876)[d]
James Martineau, (1805–1900)[a][b][c]
Karl Marx, (1818–1883)[a][b][c][d][e]
Tomáš Garrigue Masaryk, (1850–1937)[b][c][d]
Fritz Mauthner, (1849–1923)[d]
James Clerk Maxwell, (1831–1879)[a]12[d]
James McCosh, (1811–1894)[a]
William McDougall, (1871–1938)[a]
John Ellis McTaggart, (1866–1925)[a][b][c][d]
George Herbert Mead, (1863–1931)[a][b][c][d]
Georg Mehlis, (born 19th century)
Friedrich Meinecke, (1862–1954)[d]
Alexius Meinong, (1853–1920)[a][b][c][d][e]*
Gregor Mendel, (1822–1884)[a]
Marcelino Menéndez y Pelayo, (1856–1912)
Désiré-Joseph Mercier, (1851–1926)[a]
Franklin Merrell-Wolff, (1887–1985)
Emile Meyerson, (1859–1933)[b][c][d]
Carlo Michelstaedter, (1887–1910)
Nikolai Konstantinovich Mikhailovskii, (1842–1904)[d]
Miki Kiyoshi, (1897–1945)[d]
John Stuart Mill, (1806–1873)[a][b][c][d][e]
Ludwig von Mises, (1881–1973)
William Mitchell, (1861–1962)
Dimitrije Mitrinovic, (1887–1953)
W. H. S. Monck (1839–1915)
Addison Webster Moore, (1866–1930)
G. E. Moore, (1873–1958)[a][b][c][d][e]
