Larry Sanger
Galileo Galilei
Denis Diderot
Nicolaus Copernicus
Friedrich Theodor Vischer
André-Marie Ampère
Leonardo da Vinci
Plato
Aristotle
Socrates
Isaac Newton
Fyodor Dostoyevsky
Mahatma Gandhi
Dante Alighieri
Blaise Pascal
Friedrich Hayek
Vladimir Lenin
Niccolò Machiavelli
Petrarch
Marcus Aurelius Antoninus
Cicero
Michael Schmidt-Salomon
Seneca
Peter Abelard
Alain de Lille
Confucius
Hippocrates
Ernst Mayr
Giovanni Giocondo
Héloïse d’Argenteuil
Geoffrey Chaucer
Pierre-Joseph Proudhon
Peter Kropotkin
Mao Zedong
Johann Wolfgang von Goethe
Gerardus Mercator
Søren Kierkegaard
Jean-Jacques Rousseau
Stanisław Lem
Michel Onfray
Julien Offray de La Mettrie
Niels Bohr
Sophie Germain
Baron d'Holbach
Simone de Beauvoir
Rosa Luxemburg
Rabindranath Tagore
Leo Tolstoy
Wang Mang
Alan Mathison Turing
Émilie du Châtelet
Cleopatra the Alchemist
Avicenna
Augustine of Hippo
Sun Yat-sen
Archimedes
Muḥammad ibn Mūsā al-Khwārizmī
Chanakya
Gottfried Wilhelm Leibniz
Noam Chomsky
Karl Marx
Voltaire
René Descartes
C. S. Lewis
Georg Wilhelm Friedrich Hegel
Ibn Khaldun
Immanuel Kant
John Maynard Keynes
Laozi
John Locke
Friedrich Nietzsche
Jean-Paul Sartre
Adam Smith
Max Weber
Ludwig Wittgenstein
Zhu Xi
Mahavira
Rishabhanatha
Thomas Aquinas
Gautama Buddha
Al-Ghazali
Pythagoras
Vilfredo Pareto
Ibn al-Ḥaytham
Avempace
Abu Ma'shar al-Balkhi
Otto Bauer
Thomas Jefferson
James Madison
Al-Biruni
Hypatia
Auguste Comte
Johann Amos Comenius
Umberto Eco
George Soros
Vinoba Bhave
Frédéric Bastiat
Alfred Marshall
François Quesnay
Dietrich von Hildebrand
Paul I of Russia
"Sir William Hamilton, 9th Baronet"
Johann Baptist von Spix
Émile Durkheim
Fritz Mauthner
Jean Améry
Montesquieu
Virchand Gandhi
Shrimad Rajchandra
Bruce Lee
Émile Boirac
Anatoly Lunacharsky
Junius Rusticus
Arthur Balfour
Samuel P. Huntington
Cai Yuanpei
Louis Couturat
Ferdinand Tönnies
Auguste Forel
Friedrich Schiller
C. Anthony Anderson
William Hirstein
Quentin Smith
Kit Fine
Petrus Cunaeus
Joseph Gredt
Henry of Latvia
Pier Paolo Pasolini
Hermann Hesse
John Argyropoulos
Paul Deussen
Mikhail Bakunin
Friedrich Paulsen
Alfred of Sareshel
Luce Irigaray
Han Fei Zi
Kanada
Hervaeus Natalis
Abraham bar Hiyya
Huang Zongxi
Fan Zhen
Arrian
Ralph Barton Perry
Leon Trotsky
Bertrand Russell
Julian the Apostate
Chilon of Sparta
Gotthold Ephraim Lessing
Albert Camus
Ptolemy
Baruch Spinoza
Omar Khayyám
Thales
Giordano Bruno
Sun Tzu
David Hume
Fyodor Tyutchev
Francis Bacon
Thomas Hobbes
Lewis Carroll
Arthur Schopenhauer
Averroes
Heraclitus
Jonathan Swift
Heinrich Rudolf Hertz
Kurt Gödel
Hans Driesch
Wole Soyinka
Plutarch
Carl Jung
Michel de Montaigne
Mircea Eliade
Ulrik Huber
Democritus
Henri Bergson
Anaximander
Thomas More
Epicurus
Rumi
Robert Boyle
Erasmus
Nikolaos of Otranto
Ambrose
Bonaventure
André-Joseph Léonard
William of Ockham
Anselm of Canterbury
Gregory of Nazianzus
Richard David Precht
Basil of Caesarea
Michel Foucault
Hilary of Poitiers
Pierre-Simon Laplace
Peter Sloterdijk
D. T. Suzuki
Judith Sargent Murray
Axiothea of Phlius
Moses Schönfinkel
Kitarō Nishida
Harald Lesch
Anton Stres
Jacques Maritain
Kenelm Digby
Ibn ul-Arabi
Charles Babbage
Octavio Paz
Lucretius
Louis Claude de Saint-Martin
Edmund Halley
Swami Vivekananda
Rudolf Christoph Eucken
Jalil Gibran
Zhuangzi
Ralph Waldo Emerson
Ernst Haeckel
Martin Heidegger
Ukshin Hoti
Albert Schweitzer
Maurice Maeterlinck
John Stuart Mill
Rambhadracharya
František Lorenz
Günter Ralfs
Erich Fromm
Oswald Spengler
Samuel von Pufendorf
Ernst Cassirer
Moritz Schlick
Franz Brentano
David Strauss
Niklas Luhmann
Ernst Bloch
Ernst Zermelo
Hans Jonas
August Wilhelm Schlegel
Carl Stumpf
Christian Thomasius
László Katus
Hermann Lotze
Houston Stewart Chamberlain
Hugo Münsterberg
Edmund Husserl
Mikhail Lomonosov
Karl-Otto Apel
Diogenes of Oenoanda
Diogenes Laërtius
Diogenes of Sinope
Lionel Giles
Richard Carrier
Hannah Arendt
Gottlob Frege
Herbert Marcuse
Albertus Magnus
Friedrich Wilhelm Joseph Schelling
Wilhelm Dilthey
Josef Ludvik Fischer
Paul Tillich
Karl Korsch
Johann Bernhard Basedow
Johannes Althusius
Thomas Luckmann
Gerhard Gentzen
Thomas Abbt
Madhukar
Novalis
Hermann Graf Keyserling
Ludwig Klages
Axel Honneth
John Austin
Günther Anders
Jeremy Bentham
Joseph Dietzgen
Wilhelm Ackermann
Albert of Saxony
Johann Reuchlin
Walter Benjamin
Eduard Spranger
Josef Pieper
Erich Neumann
Hans Blumenberg
Oswald Külpe
Kuno Fischer
Hans Robert Jauss
Reinhart Koselleck
Friedrich Adolf Trendelenburg
Gabriel Biel
Elisabeth of the Palatinate
Theodor Lessing
Kurd Lasswitz
Arnold Ruge
Arnold Gehlen
Eugen Fink
Otto von Gierke
Friedrich Albert Lange
Eduard Zeller
Carl Gustav Hempel
Johann Albert Fabricius
Rüdiger Safranski
Paul Johann Anselm Ritter von Feuerbach
Georg Jellinek
Theodor Lipps
Carl Gustav Carus
Karl Ludwig Michelet
Oskar Negt
Hans Albert
Karl Rosenkranz
Max Bense
Paul Rée
Hermann Heller
Ludwig Büchner
Ted Nelson
Walter Kaufmann
Johannes Nikolaus Tetens
