itemLabel,date_of_birth,date_of_death
Larry Sanger,1968-07-16T00:00:00Z,
Galileo Galilei,1564-02-25T00:00:00Z,1642-01-08T00:00:00Z
Denis Diderot,1713-10-05T00:00:00Z,1784-07-31T00:00:00Z
Nicolaus Copernicus,1473-02-28T00:00:00Z,1543-06-03T00:00:00Z
Friedrich Theodor Vischer,1807-06-30T00:00:00Z,1887-09-14T00:00:00Z
André-Marie Ampère,1775-01-20T00:00:00Z,1836-06-10T00:00:00Z
Leonardo da Vinci,1452-04-24T00:00:00Z,1519-05-12T00:00:00Z
Plato,-426-01-01T00:00:00Z,-346-01-01T00:00:00Z
Aristotle,-383-01-01T00:00:00Z,-321-01-01T00:00:00Z
Socrates,-468-01-01T00:00:00Z,-398-01-01T00:00:00Z
Isaac Newton,1643-01-04T00:00:00Z,1726-03-31T00:00:00Z
Fyodor Dostoyevsky,1821-11-11T00:00:00Z,1881-02-09T00:00:00Z
Mahatma Gandhi,1869-10-02T00:00:00Z,1948-01-30T00:00:00Z
Dante Alighieri,1265-05-01T00:00:00Z,1321-09-22T00:00:00Z
Blaise Pascal,1623-06-19T00:00:00Z,1662-08-19T00:00:00Z
Friedrich Hayek,1899-05-08T00:00:00Z,1992-03-23T00:00:00Z
Vladimir Lenin,1870-04-22T00:00:00Z,1924-01-21T00:00:00Z
Niccolò Machiavelli,1469-05-12T00:00:00Z,1527-07-01T00:00:00Z
Petrarch,1304-07-28T00:00:00Z,1374-07-27T00:00:00Z
Marcus Aurelius Antoninus,0121-04-25T00:00:00Z,0180-03-16T00:00:00Z
Cicero,-106-12-31T00:00:00Z,-042-12-05T00:00:00Z
Michael Schmidt-Salomon,1967-09-14T00:00:00Z,
Seneca,-003-01-01T00:00:00Z,0065-01-01T00:00:00Z
Peter Abelard,1079-01-01T00:00:00Z,1142-04-28T00:00:00Z
Alain de Lille,t427368470,1202-01-01T00:00:00Z
Alain de Lille,t427368470,1203-01-05T00:00:00Z
Confucius,-550-01-01T00:00:00Z,-478-01-01T00:00:00Z
Hippocrates,-460-01-01T00:00:00Z,-370-01-01T00:00:00Z
Ernst Mayr,1904-07-05T00:00:00Z,2005-02-03T00:00:00Z
Giovanni Giocondo,1433-01-01T00:00:00Z,1515-07-11T00:00:00Z
Héloïse d’Argenteuil,1101-01-01T00:00:00Z,1164-05-30T00:00:00Z
Geoffrey Chaucer,1343-01-01T00:00:00Z,1400-11-03T00:00:00Z
Pierre-Joseph Proudhon,1809-01-15T00:00:00Z,1865-01-19T00:00:00Z
Peter Kropotkin,1842-12-09T00:00:00Z,1921-02-08T00:00:00Z
